T399	O_Experience 26 44	dining experiences
T414	Restaurant 107 112	there
T54	Food 138 142	meal
T312	S_Staff 164 168	chef
T71	S_Menu 179 183	menu
T113	O_Reservation 195 206	reservation
T114	Food 323 329	dinner
T415	S_Staff 358 363	David
T72	S_Menu 425 429	menu
T73	S_Menu 433 437	menu
T401	P_S_Stf_Behavior 474 479	great
T402	F_FoodItem 501 506	canap
T403	P_F_FI_Size 548 553	small
T404	P_F_FI_Taste 568 585	quite interesting
T400	F_FI_Taste 589 595	flavor
T117	F_FoodItem 662 698	salad of watermelon and dragon fruit
T118	F_FoodItem 700 713	passion fruit
T119	F_FoodItem 719 724	basil
T120	F_FoodItem 750 773	paprika-tomato meringue
T121	F_FoodItem 779 792	smoked salmon
T122	F_FoodItem 797 813	black olive agar
T123	F_FoodItem 831 843	ginger sable
T405	P_F_FI_Quality 857 863	shabby
T406	P_F_FI_Taste 884 893	excellent
T124	F_FoodItem 915 927	glazed Skate
T125	F_FoodItem 933 947	red miso water
T126	F_FoodItem 949 966	spring vegetables
T127	F_FoodItem 971 993	Paris mushroom duxelle
T490	F_Appetizer 1037 1042	bites
T128	F_FoodItem 1046 1059	grilled prawn
T129	F_FoodItem 1063 1077	spinach velout
T130	F_FoodItem 1089 1095	garlic
T131	F_FoodItem 1100 1108	parmesan
T132	F_FoodItem 1142 1149	lobster
T133	F_FoodItem 1155 1169	poached turnip
T134	F_FoodItem 1171 1185	toasted sesame
T135	F_FoodItem 1191 1197	bisque
T407	Food 1210 1217	portion
T136	F_FoodItem 1230 1245	soft-boiled egg
T137	F_FoodItem 1251 1265	Ossetra caviar
T138	F_FoodItem 1290 1305	marinated clams
T139	F_FoodItem 1307 1319	red ahi tuna
T140	F_FoodItem 1325 1335	cuttlefish
T141	F_FoodItem 1353 1376	Mediterranean John Dory
T142	F_FoodItem 1382 1393	pink pepper
T143	F_FoodItem 1400 1414	foie gras tart
T144	F_FoodItem 1419 1434	baby artichokes
T145	F_FoodItem 1459 1474	palate cleanser
T146	F_Dessert 1496 1502	sorbet
T147	F_FoodItem 1525 1533	cucumber
T148	F_FoodItem 1540 1563	Campari soaked Red Beet
T149	F_FoodItem 1590 1598	cucumber
T150	F_FoodItem 1603 1609	sorbet
T409	P_F_FI_Taste 1624 1633	Fantastic
T151	F_FoodItem 1650 1675	Sonoma Valley Duck Breast
T152	F_FoodItem 1681 1694	Alexia Potato
T153	F_FoodItem 1696 1703	berries
T154	F_FoodItem 1709 1724	piquillo pepper
T155	F_FoodItem 1740 1754	Bigarrde sauce
T410	P_F_FI_Taste 1770 1779	excellent
T156	F_FoodItem 1788 1798	tart fruit
T157	F_FoodItem 1808 1814	pepper
T507	F_FI_Taste 1841 1847	flavor
T92	F_Dessert 1876 1883	dessert
T411	P_F_FI_Size 1915 1920	small
T171	F_Dessert 1921 1929	desserts
T158	F_Drinks 1944 1962	coffee panna cotta
T159	F_Drinks 1986 1992	Coffee
T160	F_FoodItem 2008 2019	lime sorbet
T161	F_FoodItem 2022 2044	Almond-Frangipane cake
T162	F_FoodItem 2051 2068	emon-Krisch syrup
T163	F_FoodItem 2083 2098	strawberry soup
T164	F_FoodItem 2104 2113	raspberry
T165	F_FoodItem 2118 2123	basil
T412	P_F_FI_Healthy 2169 2174	fresh
T166	F_FoodItem 2175 2190	coconut tartlet
T167	F_FoodItem 2196 2208	iced coconut
T168	F_FoodItem 2210 2218	cilantro
T169	F_FoodItem 2224 2236	celery curls
T170	F_FoodItem 2254 2271	chocolate ganache
T55	Food 2293 2297	meal
T518	F_FI_Taste 2303 2310	flavors
T172	F_Dessert 2328 2336	desserts
T413	P_F_FI_Taste 2341 2350	wonderful
T173	F_FoodItem 2353 2360	Coconut
T174	F_FoodItem 2362 2370	cilantro
T175	F_FoodItem 2375 2381	celery
T42	Service 2406 2413	Service
T176	F_Drinks 2486 2494	iced tea
T6	S_Staff 2506 2512	server
T7	S_Staff 2682 2688	server
T43	Service 2730 2737	Service
T417	P_S_Stf_Behavior 2745 2750	smile
T418	P_S_Stf_Behavior 2755 2760	funny
T8	S_Staff 2772 2778	server
T74	S_Menu 2848 2852	menu
T177	S_Staff 2899 2906	servers
T9	S_Staff 2952 2958	server
T178	Restaurant 3021 3031	restaurant
T539	A_Environment 3040 3046	classy
T193	A_OutsideView 3055 3059	view
T115	Food 3311 3317	dinner
T194	W_Price 3344 3349	worth
T540	O_Payment 3355 3356	o
T195	Food 3393 3398	foods
T44	Service 3431 3438	service
T196	F_FoodItem 3448 3453	pizza
T197	F_FI_Price 3478 3483	price
T421	P_F_FI_Price 3494 3502	inflated
T198	F_FoodItem 3579 3584	pizza
T199	F_FoodItem 3659 3671	garlic bread
T422	P_F_FI_Quality 3699 3705	decent
T204	A_Place 3725 3738	counter space
T541	A_Furniture 3774 3780	stools
T201	A_Entertainment 3826 3831	games
T179	Restaurant 4078 4088	restaurant
T200	F_FoodItem 4249 4254	pizza
T202	F_FoodItem 4423 4430	burgers
T206	A_Environment 4436 4447	environment
T97	S_Delivery 4498 4503	order
T207	F_Ingredients 4546 4551	sugar
T208	F_FoodItem 4558 4570	french fries
T209	Restaurant 4575 4585	This place
T425	F_FoodItem 4620 4637	calamari in umido
T210	F_FoodItem 4662 4676	zuppa di cozze
T211	F_FoodItem 4679 4686	vongole
T426	P_F_FoodItem 4692 4700	very goo
T212	F_FoodItem 4724 4742	Pollo scarpariello
T213	F_FoodItem 4780 4796	penne alla vodca
T430	P_O_Experience 4834 4838	nice
T429	O_Experience 4846 4856	experience
T214	F_FoodItem 4879 4888	pork chop
T203	F_FoodItem 4904 4910	Bagels
T423	F_Ingredients 4933 4939	Panera
T215	A_Places 5007 5013	inside
